id;parent_id;name;kode;length
3200;\N;JAWA BARAT;32;4
3201;3200;BOGOR;01;4
3201010;3201;NANGGUNG;010;7
3201010001;3201010;MALASARI;001;10
3201010002;3201010;BANTAR KARET;002;10
3201010003;3201010;CISARUA;003;10
3201010004;3201010;CURUG BITUNG;004;10
3201010005;3201010;NANGGUNG;005;10
3201010006;3201010;PANGKAL JAYA;006;10
3201010007;3201010;SUKALUYU;007;10
3201010008;3201010;HAMBARO;008;10
3201010009;3201010;KALONG LIUD;009;10
3201010010;3201010;PARAKAN MUNCANG;010;10
3201010011;3201010;BATU TULIS;011;10
3201020;3201;LEUWILIANG;020;7
3201020001;3201020;PURASARI;001;10
3201020002;3201020;PURASEDA;002;10
3201020003;3201020;KARYASARI;003;10
3201020004;3201020;PABANGBON;004;10
3201020005;3201020;KARACAK;005;10
3201020006;3201020;BARENGKOK;006;10
3201020007;3201020;CIBEBER II;007;10
3201020016;3201020;CIBEBER I;016;10
3201020017;3201020;LEUWIMEKAR;017;10
3201020018;3201020;LEUWILIANG;018;10
3201020019;3201020;KAREHKEL;019;10
3201021;3201;LEUWISADENG;021;7
3201021001;3201021;WANGUN JAYA;001;10
3201021002;3201021;SADENGKOLOT;002;10
3201021003;3201021;LEUWISADENG;003;10
3201021004;3201021;SIBANTENG;004;10
3201021005;3201021;BABAKAN SADENG;005;10
3201021006;3201021;SADENG;006;10
3201021007;3201021;KALONG II;007;10
3201021008;3201021;KALONG I;008;10
3201030;3201;PAMIJAHAN;030;7
3201030001;3201030;CIBUNIAN;001;10
3201030002;3201030;PURWABAKTI;002;10
3201030003;3201030;CIASMARA;003;10
3201030004;3201030;CIASIHAN;004;10
3201030005;3201030;GUNUNG SARI;005;10
3201030006;3201030;GUNUNG BUNDER 2;006;10
3201030007;3201030;GUNUNG BUNDER 1;007;10
3201030008;3201030;CIBENING;008;10
3201030009;3201030;GUNUNG PICUNG;009;10
3201030010;3201030;CIBITUNG KULON;010;10
3201030011;3201030;CIBITUNG WETAN;011;10
3201030012;3201030;PAMIJAHAN;012;10
3201030013;3201030;PASAREAN;013;10
3201030014;3201030;GUNUNG MENYAN;014;10
3201030015;3201030;CIMAYANG;015;10
3201040;3201;CIBUNGBULANG;040;7
3201040001;3201040;SITU UDIK;001;10
3201040002;3201040;SITU ILIR;002;10
3201040003;3201040;CIBATOK 2;003;10
3201040004;3201040;CIARUTEN UDIK;004;10
3201040005;3201040;CIBATOK 1;005;10
3201040006;3201040;SUKAMAJU;006;10
3201040007;3201040;CEMPLANG;007;10
3201040008;3201040;GALUGA;008;10
3201040009;3201040;DUKUH;009;10
3201040010;3201040;CIMANGGU 2;010;10
3201040011;3201040;CIMANGGU 1;011;10
3201040012;3201040;GIRIMULYA;012;10
3201040013;3201040;LEUWEUNG KOLOT;013;10
3201040014;3201040;CIARUTEN ILIR;014;10
3201040015;3201040;CIJUJUNG;015;10
3201050;3201;CIAMPEA;050;7
3201050004;3201050;CIAMPEA UDIK;004;10
3201050008;3201050;CINANGKA;008;10
3201050009;3201050;CIBUNTU;009;10
3201050010;3201050;CICADAS;010;10
3201050011;3201050;TEGAL WARU;011;10
3201050012;3201050;BOJONG JENGKOL;012;10
3201050013;3201050;CIHIDEUNG UDIK;013;10
